Run,Event,Cluster ID,Vertex X,Vertex Y,Vertex Z,
8406,5152,26,57.0318,-53.5463,444.625,
8406,5152,383,315.767,99.4788,1034.28,
8406,5154,32,157.003,77.5701,276.925,
8406,5154,38,120.8897949,95.74079793,799.45,
8406,5168,31,269.745,-24.7676,840.219,
8406,5169,13,130.1381958,7.681700134,335.275,
8406,5169,30,171.3155884,7.510231339,326.199999,
8406,5170,1,-93.14459839,35.697686,118.15,
8406,5170,29,137.185,2.97918,888.398,
8406,5170,107,-3.0828,-1.3394,753.6,
8406,5177,5,-1,-1,-1,
8406,5183,63,-102.613,38.2143,250.168,
8406,5187,56,51.5268,85.4062,750.19,
8406,5187,124,-1,-1,-1,
8406,5197,25,-1,-1,-1,
8406,5197,64,-1,-1,-1,
8406,5210,4,95.787,31.7429,174.1,Prob not Michel
8406,5216,24,-1,-1,-1,
8406,5219,115,117.146,58.8782,347.1,
8406,5228,14,-1,-1,-1,
8406,5233,321,-1,-1,-1,
8406,5234,79,-1,-1,-1,
8406,5253,9,-1,-1,-1,
8406,5253,61,290.003,-39.3868,680.8,
8406,5261,10,-33.2502,10.0344,606.1,
8406,5262,44,316.868,-24.6342,854.25,
8406,5266,98,20.919,-42.1581,770.2,
8406,5272,0,-1,-1,-1,
8406,5283,1,-159.645,-41.0467,756.55,
8406,5304,98,5.7252,39.3054,846.199,
8406,5304,552,-1,-1,-1,
8406,5307,21,8.3676,-45.5356,499.75,
8406,5313,132,52.848,-28.5904,148.2,
8406,5313,259,-1,-1,-1,Missing Points
8406,5314,5,-1,-1,-1,
8406,5314,50,215.356,-21.5755,364.25,
8406,5315,81,329.199,70.626,985.15,
8406,5327,69,113.843,-52.0597,657.55,
8406,5331,18,-9.4686,9.06254,388.75,
8406,5331,80,-1,-1,-1,
8406,5332,33,-1,-1,-1,
8406,5343,18,166.912,19.7628,631.69,
8406,5343,44,-1,-1,-1,
8406,5343,76,-1,-1,-1,
8406,5345,64,332.282,-9.76872,545.6,
8406,5348,15,-1,-1,-1,
8406,5353,62,-1,-1,-1,not Michel
8406,5361,91,-1,-1,-1,
8406,5362,184,-66.9408,87.9187,649.9,
8406,5370,13,70.9044,-24.7221,912.498,
8406,5370,46,-24.8826,-2.95598,765.4,
8406,5370,52,-1,-1,-1,
8406,5374,50,-1,-1,-1,
8406,5382,37,138.726,-22.9323,589,
8406,5383,20,-1,-1,-1,
8406,5383,24,-1,-1,-1,
8406,5384,2,-13.212,12.7985,512.488,
8406,5405,66,-1,-1,-1,
8406,5405,164,-133.441,57.7717,664.417,
8406,5410,83,55.7106,-12.7613,754.25,
8406,5410,88,-1,-1,-1,
8406,5412,9,-11.8908,-29.3405,783.099,
8406,5415,66,-123.312,56.107,535.3,
8406,5431,121,-1,-1,-1,
8406,5435,30,-76.4094,4.46309,225.55,
8406,5435,79,108.559,64.5883,680.29,
8406,5460,51,-1,-1,-1,
8406,5462,0,-96.0072,-9.8677,370.429,
8406,5462,18,-1,-1,-1,
8406,5465,40,167.352,-7.17064,740.15,
8406,5483,169,103.934,43.769,862.13,
8406,5487,188,-3.9636,48.7733,875.5,Small Michel
8406,5491,8,295.949,65.4017,828.199,Small Michel
8406,5491,121,77.9508,-2.04403,898.068,
8406,5493,91,226.586,55.7895,304.15,
8406,5496,13,202.804,-28.7347,596.95,
8406,5496,16,-1,-1,-1,
8406,5499,20,-50.4258,4.37637,785.1,
8406,6052,52,-1,-1,-1,
8406,6052,190,-1,-1,-1,
8406,6054,194,166.691,-13.7813,406.15,
8406,6054,380,-1,-1,-1,
8406,6064,4,-1,-1,-1,
8406,6064,176,-76.4094,26.2581,230.2,Small Michel
8406,6068,8,-1,-1,-1,
8406,6068,46,63.858,5.40406,382.12,
8406,6068,46,-1,-1,-1,
8406,6075,0,193.776,-21.4166,769.225,
8406,6084,1,85.878,16.01,565.95,
8406,6085,214,-91.8234,3.84521,519.1,
8406,6085,284,-1,-1,-1,
8406,6087,8,69.8034,69.5593,283.9,
8406,6087,13,-1,-1,-1,not Michel
8406,6087,14,-144.671,18.6947,608.1,
